Name of Module,Name,Day,Start Time,End Time,Weeks,course_code,fixed_event
Informatics Research Review,Informatics Research Review - Tutorial/12,Wed,16:00:00,17:00:00,Sem1 wk3-Sem1 wk10,INFR11136,False
Informatics Research Review,Informatics Research Review - Tutorial/14,Thu,13:00:00,14:00:00,Sem1 wk3-Sem1 wk10,INFR11136,False
Computing in the Classroom,"Computing in the Classroom - Lecture <10-13, 15-18>",Thu,11:00:00,13:00:00,"Sem1 wk2-Sem1 wk5, Sem1 wk7-Sem1 wk10",INFR10077,False
Computing in the Classroom,"Computing in the Classroom - Lecture <09, 14, 19>",Thu,11:00:00,13:00:00,"Sem1 wk1, Sem1 wk6, Sem1 wk11",INFR10077,False
Informatics 2 - Foundations of Data Science,Informatics 2 - Foundations of Data Science - Workshop/01,Wed,12:00:00,13:00:00,"Sem1 wk3, Sem1 wk5, Sem1 wk9",INFR08030,False
Informatics 2 - Foundations of Data Science,Informatics 2 - Foundations of Data Science - Workshop/02,Tue,14:00:00,15:00:00,"Sem1 wk3, Sem1 wk5, Sem1 wk9",INFR08030,False
Informatics 2 - Foundations of Data Science,Informatics 2 - Foundations of Data Science - Workshop/03,Tue,11:00:00,12:00:00,"Sem1 wk3, Sem1 wk5, Sem1 wk9",INFR08030,False
Informatics 2 - Foundations of Data Science,Informatics 2 - Foundations of Data Science - Workshop/04,Tue,12:00:00,13:00:00,"Sem1 wk3, Sem1 wk5, Sem1 wk9",INFR08030,False
Informatics 2 - Foundations of Data Science,Informatics 2 - Foundations of Data Science - Workshop/05,Tue,16:00:00,17:00:00,"Sem1 wk3, Sem1 wk5, Sem1 wk9",INFR08030,False
Informatics 2 - Foundations of Data Science,Informatics 2 - Foundations of Data Science - Workshop/06,Wed,11:00:00,12:00:00,"Sem1 wk3, Sem1 wk5, Sem1 wk9",INFR08030,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/01,Mon,13:00:00,14:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/02,Mon,15:00:00,16:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/03,Tue,11:00:00,12:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/04,Tue,09:00:00,10:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/05,Tue,16:00:00,17:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/06,Tue,17:00:00,18:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/07,Tue,09:00:00,10:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/08,Tue,17:00:00,18:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/09,Tue,15:00:00,16:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/10,Tue,15:00:00,16:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/11,Tue,14:00:00,15:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/12,Tue,12:00:00,13:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/14,Wed,13:00:00,14:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/15,Wed,12:00:00,13:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/16,Wed,11:00:00,12:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/17,Wed,15:00:00,16:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Foundations of Data Science,Informatics 2 - Foundations of Data Science - Lecture,Mon,15:00:00,16:00:00,"Sem1 wk1, Sem1 wk3-Sem1 wk6, Sem1 wk8-Sem1 wk11",INFR08030,False
