Name of Module,Name,Day,Start Time,End Time,Weeks,course_code,fixed_event
Secure Programming,Secure Programming - Lecture,Thu,14:00:00,15:00:00,"Sem1 wk1, Sem1 wk3-Sem1 wk10",INFR11098,False
Secure Programming,Secure Programming - Lecture,Tue,14:00:00,15:00:00,"Sem1 wk1, Sem1 wk3-Sem1 wk10",INFR11098,False
Types and Semantics for Programming Languages,Types and Semantics for Programming Languages - Lecture,Mon,12:00:00,14:00:00,"Sem1 wk1-Sem1 wk2, Sem1 wk4-Sem1 wk11",INFR11114,False
Types and Semantics for Programming Languages,"Types and Semantics for Programming Languages - Lecture <09-10, 12-15, 17-19>",Wed,12:00:00,14:00:00,"Sem1 wk1-Sem1 wk2, Sem1 wk4-Sem1 wk7, Sem1 wk9-Sem1 wk11",INFR11114,False
Types and Semantics for Programming Languages,Types and Semantics for Programming Languages - Lecture <16>,Wed,12:00:00,14:00:00,Sem1 wk8,INFR11114,False
Applied Machine Learning,Applied Machine Learning - Q&A Session <11>,Mon,15:00:00,16:00:00,Sem1 wk3,INFR11211,False
Applied Machine Learning,"Applied Machine Learning - Q&A Session <10, 12-18>",Tue,16:00:00,17:00:00,"Sem1 wk2, Sem1 wk4-Sem1 wk10",INFR11211,False
Applied Machine Learning,Applied Machine Learning - Q&A Session <09>,Tue,17:00:00,18:00:00,Sem1 wk1,INFR11211,False
Case Studies in Design Informatics 1,Case Studies in Design Informatics 1 - Lecture,Mon,15:00:00,17:00:00,Sem1 wk1-Sem1 wk11,INFR11094,False
Doing Research in Natural Language Processing,Doing Research in Natural Language Processing - Lecture,Fri,16:00:00,17:00:00,Sem1 wk1-Sem1 wk10,INFR11194,False
Doing Research in Natural Language Processing,Doing Research in Natural Language Processing - Lecture,Wed,16:00:00,17:00:00,Sem1 wk1-Sem1 wk10,INFR11194,False
Group Project in Advanced Natural Language Processing,Group Project in Advanced Natural Language Processing,Thu,14:00:00,15:00:00,"Sem1 wk1, Sem1 wk3, Sem1 wk5, Sem1 wk7, Sem1 wk9, Sem1 wk11",INFR11193,False
Issues in Clinical Data Modelling,Issues in Clinical Data Modelling - Lecture,Wed,14:00:00,16:00:00,Sem1 wk1-Sem1 wk10,INFR11195,False
Computer Security,Computer Security (CSEC-10) - Tutorial/07,Wed,16:00:00,17:00:00,Sem1 wk3-Sem1 wk10,INFR10067,False
